SEIFA,YEAR,GEO_TYPE,GEO_CD,GEO_NM,URP,SCORE,AUS_RANK,AUS_DECILE,AUS_PERCENTILE,STATE,STATE_RANK,STATE_DECILE,STATE_PERCENTILE,MIN_SA1_SCORE_AREA,MAX_SA1_SCORE_AREA,URP_PERCENT_WO_SA1_SCORE,USE_WITH_CAUTION,CROSSES_STATE
IEO,2016,SA2,101021007,Braidwood,3872,1027,1406,7,65,NSW,359,7,64,942,1111,0,,
IEO,2016,SA2,101021008,Karabar,8247,966,894,5,41,NSW,245,5,44,852,1112,0,,
IEO,2016,SA2,101021009,Queanbeyan,10842,998,1175,6,54,NSW,310,6,56,927,1053,0.001567976,,
IEO,2016,SA2,101021010,Queanbeyan - East,4786,1024,1387,7,64,NSW,356,7,64,958,1155,0,,
IEO,2016,SA2,101021011,Queanbeyan Region,16946,1091,1810,9,83,NSW,462,9,83,938,1161,0,,
IEO,2016,SA2,101021012,Queanbeyan West - Jerrabomberra,12643,1089,1789,9,82,NSW,453,9,81,858,1182,0,,
IEO,2016,SA2,101031013,Bombala,2390,941,619,3,29,NSW,155,3,28,875,1086,0,,
IEO,2016,SA2,101031014,Cooma,6742,952,757,4,35,NSW,202,4,37,879,1027,0,,
IEO,2016,SA2,101031015,Cooma Region,3280,1011,1276,6,59,NSW,333,6,60,886,1100,0.001829268,,
IEO,2016,SA2,101031016,Jindabyne - Berridale,6951,1020,1361,7,63,NSW,351,7,63,925,1122,0.025463962,,
IEO,2016,SA2,101041017,Batemans Bay,7692,907,286,2,14,NSW,58,2,11,812,1015,0.000390016,,
IEO,2016,SA2,101041018,Batemans Bay - South,8358,947,696,4,32,NSW,178,4,32,792,1069,0,,
IEO,2016,SA2,101041019,Bega - Tathra,8405,951,744,4,34,NSW,199,4,36,842,1078,0,,
IEO,2016,SA2,101041020,Bega-Eden Hinterland,8793,971,948,5,44,NSW,256,5,46,871,1068,0.001250995,,
IEO,2016,SA2,101041021,Broulee - Tomakin,3285,1007,1245,6,57,NSW,324,6,58,927,1054,0,,
IEO,2016,SA2,101041022,Deua - Wadbilliga,25,1113,1912,9,88,NSW,485,9,87,1113,1113,0,,
