SEIFA,YEAR,GEO_TYPE,GEO_CD,GEO_NM,URP,SCORE,AUS_RANK,AUS_DECILE,AUS_PERCENTILE,STATE,STATE_RANK,STATE_DECILE,STATE_PERCENTILE,MIN_SA1_SCORE_AREA,MAX_SA1_SCORE_AREA,URP_PERCENT_WO_SA1_SCORE,USE_WITH_CAUTION,CROSSES_STATE
IRSAD,2016,SA2,101021007,Braidwood,3872,997,1092,5,50,NSW,295,6,53,936,1063,0,,
IRSAD,2016,SA2,101021008,Karabar,8247,985,979,5,45,NSW,264,5,48,710,1125,0,,
IRSAD,2016,SA2,101021009,Queanbeyan,10842,982,943,5,44,NSW,258,5,47,858,1077,0.001567976,,
IRSAD,2016,SA2,101021010,Queanbeyan - East,4786,1013,1246,6,58,NSW,325,6,59,926,1163,0.005223569,,
IRSAD,2016,SA2,101021011,Queanbeyan Region,16946,1122,2042,10,94,NSW,499,9,90,954,1195,0,,
IRSAD,2016,SA2,101021012,Queanbeyan West - Jerrabomberra,12643,1113,1993,10,92,NSW,486,9,87,824,1222,0.002372855,,
IRSAD,2016,SA2,101031013,Bombala,2390,937,515,3,24,NSW,138,3,25,843,1050,0,,
IRSAD,2016,SA2,101031014,Cooma,6742,941,563,3,26,NSW,158,3,29,856,1025,0.003559775,,
IRSAD,2016,SA2,101031015,Cooma Region,3280,1012,1228,6,57,NSW,322,6,58,880,1075,0.001829268,,
IRSAD,2016,SA2,101031016,Jindabyne - Berridale,6951,1020,1297,6,60,NSW,332,6,60,918,1077,0.025463962,,
IRSAD,2016,SA2,101041017,Batemans Bay,7692,906,268,2,13,NSW,63,2,12,739,1033,0.000390016,,
IRSAD,2016,SA2,101041018,Batemans Bay - South,8358,943,571,3,27,NSW,163,3,30,805,1059,0,,
IRSAD,2016,SA2,101041019,Bega - Tathra,8405,947,602,3,28,NSW,171,4,31,822,1045,0,,
IRSAD,2016,SA2,101041020,Bega-Eden Hinterland,8793,960,731,4,34,NSW,208,4,38,853,1014,0.001250995,,
IRSAD,2016,SA2,101041021,Broulee - Tomakin,3285,992,1034,5,48,NSW,279,5,50,938,1017,0,,
IRSAD,2016,SA2,101041023,Eden,3216,886,176,1,9,NSW,36,1,7,763,993,0.001243781,,
IRSAD,2016,SA2,101041024,Eurobodalla Hinterland,3301,947,606,3,28,NSW,173,4,31,842,1026,0,,
IRSAD,2016,SA2,101041025,Merimbula - Tura Beach,10618,968,813,4,38,NSW,228,5,41,855,1048,0,,
IRSAD,2016,SA2,101041026,Moruya - Tuross Head,7968,944,582,3,27,NSW,168,4,31,829,1048,0,,
IRSAD,2016,SA2,101041027,Narooma - Bermagui,8978,932,470,3,22,NSW,123,3,23,684,1009,0.002339051,,
IRSAD,2016,SA2,101051539,Goulburn,22890,933,481,3,23,NSW,125,3,23,696,1115,0.032022717,,
IRSAD,2016,SA2,101051540,Goulburn Region,12670,984,965,5,45,NSW,262,5,47,879,1076,0,,
IRSAD,2016,SA2,101061541,Yass,6506,993,1054,5,49,NSW,288,6,52,942,1102,0,,
IRSAD,2016,SA2,101061542,Yass Region,11505,1092,1886,9,87,NSW,459,9,83,940,1190,0.000956106,,
IRSAD,2016,SA2,101061543,Young,10601,918,356,2,17,NSW,92,2,17,764,1044,0.011414018,,
IRSAD,2016,SA2,101061544,Young Region,7323,946,591,3,28,NSW,170,4,31,790,1062,0,,
IRSAD,2016,SA2,102011028,Avoca Beach - Copacabana,7312,1082,1817,9,84,NSW,449,9,81,1007,1128,0,,
IRSAD,2016,SA2,102011029,Box Head - MacMasters Beach,10689,1044,1509,7,70,NSW,385,7,69,895,1126,0.000561325,,
