SEIFA,YEAR,GEO_TYPE,GEO_CD,GEO_NM,URP,SCORE,AUS_RANK,AUS_DECILE,AUS_PERCENTILE,STATE,STATE_RANK,STATE_DECILE,STATE_PERCENTILE,MIN_SA1_SCORE_AREA,MAX_SA1_SCORE_AREA,URP_PERCENT_WO_SA1_SCORE,USE_WITH_CAUTION,CROSSES_STATE
IRSD,2016,SA2,101021007,Braidwood,3872,1009,1093,6,51,NSW,309,6,56,944,1058,0,,
IRSD,2016,SA2,101021008,Karabar,8247,996,961,5,44,NSW,274,5,50,652,1113,0,,
IRSD,2016,SA2,101021009,Queanbeyan,10842,990,895,5,41,NSW,260,5,47,839,1064,0.001567976,,
IRSD,2016,SA2,101021010,Queanbeyan - East,4786,1019,1200,6,55,NSW,336,7,61,928,1142,0.005223569,,
IRSD,2016,SA2,101021011,Queanbeyan Region,16946,1107,2094,10,96,NSW,526,10,95,969,1161,0,,
IRSD,2016,SA2,101021012,Queanbeyan West - Jerrabomberra,12643,1100,2047,10,94,NSW,510,10,92,808,1168,0.002372855,,
IRSD,2016,SA2,101031013,Bombala,2390,953,527,3,25,NSW,149,3,27,835,1056,0,,
IRSD,2016,SA2,101031014,Cooma,6742,963,616,3,29,NSW,180,4,33,884,1055,0.003559775,,
IRSD,2016,SA2,101031015,Cooma Region,3280,1029,1310,6,60,NSW,362,7,65,900,1082,0.001829268,,
IRSD,2016,SA2,101031016,Jindabyne - Berridale,6951,1052,1582,8,73,NSW,420,8,76,936,1108,0.025463962,,
IRSD,2016,SA2,101041017,Batemans Bay,7692,931,370,2,17,NSW,101,2,19,689,1074,0.000390016,,
IRSD,2016,SA2,101041018,Batemans Bay - South,8358,967,643,3,30,NSW,188,4,34,809,1090,0,,
IRSD,2016,SA2,101041019,Bega - Tathra,8405,972,683,4,32,NSW,200,4,36,812,1081,0,,
IRSD,2016,SA2,101041020,Bega-Eden Hinterland,8793,983,817,4,38,NSW,243,5,44,845,1043,0.001250995,,
IRSD,2016,SA2,101041021,Broulee - Tomakin,3285,1021,1221,6,56,NSW,340,7,61,966,1046,0,,
IRSD,2016,SA2,101041023,Eden,3216,908,240,2,11,NSW,68,2,13,752,1042,0.001243781,,
IRSD,2016,SA2,101041024,Eurobodalla Hinterland,3301,972,685,4,32,NSW,202,4,37,850,1059,0,,
IRSD,2016,SA2,101041025,Merimbula - Tura Beach,10618,997,974,5,45,NSW,278,5,50,866,1088,0,,
IRSD,2016,SA2,101041026,Moruya - Tuross Head,7968,970,671,4,31,NSW,196,4,36,837,1064,0,,
IRSD,2016,SA2,101041027,Narooma - Bermagui,8978,956,555,3,26,NSW,155,3,28,606,1045,0.002339051,,
IRSD,2016,SA2,101051539,Goulburn,22890,948,488,3,23,NSW,140,3,26,654,1123,0.032022717,,
IRSD,2016,SA2,101051540,Goulburn Region,12670,998,981,5,45,NSW,280,6,51,902,1080,0,,
IRSD,2016,SA2,101061541,Yass,6506,1010,1098,6,51,NSW,311,6,56,945,1115,0,,
IRSD,2016,SA2,101061542,Yass Region,11505,1084,1927,9,89,NSW,482,9,87,946,1143,0.000956106,,
IRSD,2016,SA2,101061543,Young,10601,939,424,2,20,NSW,117,3,21,738,1070,0.011414018,,
IRSD,2016,SA2,101061544,Young Region,7323,957,565,3,26,NSW,161,3,29,798,1061,0,,
IRSD,2016,SA2,102011028,Avoca Beach - Copacabana,7312,1077,1871,9,86,NSW,466,9,84,1025,1116,0,,
IRSD,2016,SA2,102011029,Box Head - MacMasters Beach,10689,1053,1591,8,73,NSW,421,8,76,900,1110,0.000561325,,
IRSD,2016,SA2,102011030,Calga - Kulnura,4705,1028,1299,6,60,NSW,359,7,65,955,1067,0.006163656,,
IRSD,2016,SA2,102011031,Erina - Green Point,13953,1027,1288,6,59,NSW,356,7,64,729,1141,0.00258009,,
IRSD,2016,SA2,102011032,Gosford - Springfield,18803,977,741,4,34,NSW,220,4,40,765,1118,0.000425464,,
IRSD,2016,SA2,102011033,Kariong,6385,1040,1437,7,66,NSW,388,7,70,985,1070,0.030540329,,
IRSD,2016,SA2,102011034,Kincumber - Picketts Valley,7313,994,939,5,43,NSW,269,5,49,856,1113,0,,
